시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일
성북구,11290000666,자이햇살어린이집,가정,정상,2776.0,서울특별시 성북구 돌곶이로30길 23 210동 104호,02-941-0210,,,3,67.0,0,0,1,20,0,37.61443291534115,127.055201402858,,2025-05-28,,,,2025-06-04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025-06-04 22:15:23.0
성북구,11290000667,자이키즈어린이집,가정,정상,2775.0,서울특별시 성북구 돌곶이로30길 63 102동 102호,02-942-0102,,,3,64.0,0,0,1,20,0,37.56647,126.977963,,2025-05-23,,,,2025-06-04,일반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025-06-04 22:15:23.0
관악구,11620000575,구립벤처타운어린이집,국공립,정상,8823.0,서울특별시 관악구 약수암길 1-8,02-882-0560,02-883-0560,,4,120.0,1,16,5,45,17,37.46076787221419,126.9328146681376,미운영,2025-05-01,,,,2025-06-04,일반,3,1,0,0,0,0,1,0,0,5,8,4,0,0,0,0,5,0,0,17,100.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2025-06-04 22:17:31.0
광진구,11215000369,구립 자양이스트폴어린이집,국공립,정상,5050.0,서울특별시 광진구 뚝섬로 717 구립 자양이스트폴어린이집,02-6212-7679,,,9,793.0,1,0,19,98,70,37.53465627097424,127.08895500690193,,2025-05-01,,,,2025-06-04,장애아통합,5,4,4,0,0,0,0,1,0,14,15,20,28,0,0,0,0,7,0,70,100.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,2025-06-04 20:14:52.0
강동구,11740000566,구립온빛어린이집,국공립,정상,5206.0,서울특별시 강동구 아리수로 385 1층(고덕동),010-8123-2507,,,5,193.0,1,0,1,51,0,37.56647,126.977963,,2025-04-29,,,,2025-06-04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025-06-04 22:18:11.0
송파구,11710000836,빛의자녀어린이집,법인?단체등,정상,5851.0,서울특별시 송파구 위례순환로 377 위례심포니아 B동,02-6241-7550,,,8,348.0,1,38,8,87,27,37.477572047836105,127.14470009812382,,2025-04-21,,,,2025-06-04,일반,0,2,1,1,0,0,0,1,0,5,0,9,5,6,0,0,0,7,0,27,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:18:02.0
동대문구,11230000522,아르테포레어린이집,국공립,정상,2617.0,서울특별시 동대문구 전농로4나길 19,02-1111-1111,,,3,112.0,0,7,8,33,19,37.56647,126.977963,,2025-04-01,,,,2025-06-04,장애아통합,2,2,1,0,0,0,0,0,0,5,6,9,4,0,0,0,0,0,0,19,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2025-06-04 22:15:01.0
강동구,11740000564,구립그란츠리버키즈어린이집,국공립,정상,5379.0,서울특별시 강동구 천호대로 1050 101동 1~2층,02-471-7178,,,3,108.0,0,8,6,30,13,37.53840661072533,127.12400974354686,미운영,2025-03-31,,,,2025-06-04,일반,2,2,0,0,0,0,1,0,0,5,6,6,0,0,0,0,1,0,0,13,100.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2025-06-04 22:18:11.0
강동구,11740000565,구립둔촌1동어린이집,국공립,정상,5409.0,서울특별시 강동구 양재대로 1342 1층,02-486-1342,02-487-1342,,6,350.0,1,0,2,85,53,37.52586004583876,127.13638786329838,,2025-03-27,,,,2025-06-04,일반,6,4,3,1,0,0,0,0,0,14,18,20,11,4,0,0,0,0,0,53,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2025-06-04 22:18:11.0
서대문구,11410000385,NH농협생명어린이집,직장,정상,3739.0,서울특별시 서대문구 통일로 87,02-312-7775,02-364-7775,www.puruni.com/nhlife,3,111.0,0,10,12,33,16,37.56237554753359,126.96862544045116,미운영,2025-03-25,,,,2025-06-04,일반,3,2,2,0,0,0,0,0,0,7,6,3,7,0,0,0,0,0,0,16,100.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,2025-06-04 22:16:10.0
