연번,시도청,경찰서,관서명,구분,전화번호,주소,위도,경도
1,서울청,서울중부,을지,지구대,02-2279-1908,서울특별시 중구 퇴계로49길 13,37.5630606893449,127.000148951295
2,서울청,서울중부,광희,지구대,02-2233-1444,서울특별시 중구  퇴계로 375-1,37.5652684538307,127.013376356837
3,서울청,서울중부,약수,지구대,02-2234-8112,서울특별시 중구  동호로 5길 15,37.5521442775352,127.0123820902
4,서울청,서울중부,신당,파출소,02-2252-0435,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",37.5650442671787,127.01638496365
5,서울청,서울중부,장충,파출소,02-2274-9003,서울특별시 중구  동호로 261,37.5587633776035,127.004802045236
6,서울청,서울중부,충무,파출소,02-2278-7710,서울특별시 중구  퇴계로 178,37.5608715980974,126.991580763073
7,서울청,서울중부,을지로3가,파출소,02-2266-2404,서울특별시 중구 충무로56-1,37.5661815238113,126.992848341729
8,서울청,서울종로,종로2가,지구대,02-3701-4301,서울특별시 종로구  종로17길 4 ,37.5705022157858,126.988922852655
9,서울청,서울종로,관수,파출소,02-3701-4302,서울특별시 종로구 삼일대로15길 19 1층(임시파출소),37.5686968013869,126.986345479877
10,서울청,서울종로,세검정,파출소,02-3701-4507,서울특별시 종로구  세검정로 226 ,37.6000216905431,126.958463372948
11,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,37.6052486740828,126.966627287785
12,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구 삼청로 75-2 (팔판동),37.5823437704747,126.981461876813
13,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,37.576770888086,126.974006743819
14,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,37.5842278806099,126.970583868348
15,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,37.5814734297903,126.96942633294
16,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 152,37.571813578256,126.962199186657
17,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,37.5689472465748,126.976429659029
18,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,37.5707552628269,126.972233913231
19,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9가길 6 1층,37.5765653446751,126.969040837991
20,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구 우정국로 45-3 1층(임시파출소),37.5729712701818,126.982661854905
