점포명,주소,전화번호,비고,예약 가능 여부,운영 시간,latitude,longitude
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),1522-3232,리저브 매장 2번,True,[URL],37.5102202255601,127.022269137849
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),1522-3232,리저브 매장 2번,False,09:00 - 22:00,37.5139723982051,127.020611936716
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232,리저브 매장 2번,True,08:00 - 23:00,37.499603693833,127.031676800566
대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동)...,1522-3232,리저브 매장 2번,False,07:30 - 21:30,37.4945603877761,127.062632515245
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232,리저브 매장 2번,True,[URL],37.5150273653092,127.063116769411
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),1522-3232,리저브 매장 2번,True,09:00 - 22:00,37.5228318275385,127.028614847468
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),1522-3232,리저브 매장 2번,False,10:00 - 21:00,37.5118239121138,127.059159043842
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),1522-3232,리저브 매장 2번,True,08:30 - 22:30,37.5075910839105,127.060579419429
압구정R,서울특별시 강남구 언주로 861 (신사동),1522-3232,리저브 매장 2번,False,[URL],37.5273990937168,127.033113547922
수서역R,서울특별시 강남구 광평로 281 (수서동),1522-3232,리저브 매장 2번,True,07:00 - 21:00,37.4881247193412,127.103147850146
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동)...,1522-3232,리저브 매장 2번,False,09:30 - 20:30,37.4852652574455,127.036620497399
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232,리저브 매장 2번,True,10:30 - 23:00,37.5053601174069,127.050386949115
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232,리저브 매장 2번,False,08:00 - 21:00,37.5113678090076,127.048516695265
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232,리저브 매장 2번,True,[URL],37.5021081976155,127.026659139548
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호...,1522-3232,리저브 매장 2번,True,07:30 - 22:00,37.5118239121138,127.059159043842
강남구청정문,서울특별시 강남구 학동로 419 (청담동),1522-3232,리저브 매장 2번,False,09:00 - 21:30,37.5183061036652,127.045976501779
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),1522-3232,리저브 매장 2번,True,10:00 - 20:00,37.4929198247521,127.041364616509
강남R,서울특별시 강남구 강남대로 390 (역삼동),1522-3232,리저브 매장 2번,True,08:00 - 23:00,37.4978399531903,127.028578846319
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),1522-3232,리저브 매장 2번,False,[URL],37.499003535147,127.060178595462
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),1522-3232,리저브 매장 2번,True,09:30 - 22:30,37.5221876728793,127.056460869043
압구정,서울특별시 강남구 압구정로30길 17 (신사동)...,1522-3232,리저브 매장 2번,True,07:00 - 21:30,37.5263301884169,127.029553686621
신사가로수,서울특별시 강남구 가로수길 59,1522-3232,리저브 매장 2번,False,10:00 - 22:00,37.5218897968686,127.022521249316
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동)...,1522-3232,리저브 매장 2번,True,08:30 - 20:30,37.5252578873567,127.041837238386
강남우성,서울특별시 강남구 강남대로 328 (역삼동),1522-3232,리저브 매장 2번,False,[URL],37.4924272855457,127.030921234166
학동사거리,서울특별시 강남구 도산대로 328 (논현동),1522-3232,리저브 매장 2번,True,09:00 - 23:00,37.5224022062676,127.037967162209
대치사거리,서울특별시 강남구 삼성로 402 (대치동),1522-3232,리저브 매장 2번,True,07:30 - 21:00,37.5033679636045,127.058834462033
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩...,1522-3232,리저브 매장 2번,False,10:00 - 22:00,37.5075694059412,127.057440735405
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)...",1522-3232,리저브 매장 2번,True,08:00 - 20:00,37.5191609544084,127.028644440099
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워...,1522-3232,리저브 매장 2번,False,[URL],37.5161918332017,127.020655869811
도곡역,서울특별시 강남구 남부순환로 2909 (대치동)...,1522-3232,리저브 매장 2번,True,09:30 - 21:00,37.4921823099018,127.057410744328
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회...,1522-3232,리저브 매장 2번,False,07:00 - 23:00,37.5149119573608,127.035749989521
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워...,1522-3232,리저브 매장 2번,True,10:00 - 20:00,37.5237679012526,127.04687173454
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)...",1522-3232,리저브 매장 2번,True,08:30 - 22:00,37.4966225187716,127.055233195315
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),1522-3232,리저브 매장 2번,False,09:00 - 21:00,37.4941544920079,127.033008626274
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호...,1522-3232,리저브 매장 2번,True,[URL],37.5118239121138,127.059159043842
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)...",1522-3232,리저브 매장 2번,False,07:30 - 23:00,,
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)...",1522-3232,리저브 매장 2번,True,10:00 - 20:00,37.5018865544268,127.03924172804
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)...",1522-3232,리저브 매장 2번,True,08:00 - 22:00,37.4993753300832,127.033803449711
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)...",1522-3232,리저브 매장 2번,False,09:30 - 21:30,37.503136666054,127.025570180456
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)...",1522-3232,리저브 매장 2번,True,07:00 - 20:30,37.5243444672802,127.051591952726
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층...",1522-3232,리저브 매장 2번,True,10:00 - 23:00,37.507823522519,127.065187924005
학동역,서울특별시 강남구 논현로 704 (논현동),1522-3232,리저브 매장 2번,False,08:30 - 21:00,37.5146068395402,127.030764674069
대치,서울특별시 강남구 도곡로 511 (대치동),1522-3232,리저브 매장 2번,True,09:00 - 22:00,37.4996326317154,127.062238112663
신세계푸드마켓도곡,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)...",1522-3232,리저브 매장 2번,False,07:30 - 21:30,37.4894573055974,127.053964659634
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)...",1522-3232,리저브 매장 2번,True,[URL],37.5069494959122,127.055596615858
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층...,1522-3232,리저브 매장 2번,True,08:00 - 22:00,37.5037725578123,127.05119768025
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)...",1522-3232,리저브 매장 2번,False,09:30 - 20:00,37.5267583374608,127.02810647031
압구정로,서울특별시 강남구 압구정로42길 32 (신사동)...,1522-3232,리저브 매장 2번,True,07:00 - 23:00,37.526839647124,127.034732418925
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),1522-3232,리저브 매장 2번,False,10:00 - 21:30,37.495927321591,127.038901507867
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)...",1522-3232,리저브 매장 2번,True,08:30 - 22:30,37.5024001842287,127.040672852455
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)...",1522-3232,리저브 매장 2번,True,09:00 - 20:00,37.5166119773031,127.041258693516
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호...,1522-3232,리저브 매장 2번,False,07:30 - 23:00,37.4933489108525,127.06191661451
포이,서울특별시 강남구 논현로 88 (개포동),1522-3232,리저브 매장 2번,True,10:00 - 20:30,37.4778176367596,127.045132028081
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232,리저브 매장 2번,False,08:00 - 22:00,37.4997440471512,127.034954751198
